metric,mean(var),std,min,max,var
accuracy,0.858(0.010),0.0099,0.8462,0.8759,0.0001
precision,0.861(0.010),0.0096,0.8520,0.8811,0.0001
recall,0.858(0.010),0.0099,0.8462,0.8759,0.0001
f1_score,0.856(0.010),0.0097,0.8467,0.8773,0.0001

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8486,0.8520,0.8486,0.8490
2,0.8462,0.8570,0.8462,0.8467
3,0.8536,0.8564,0.8536,0.8521
4,0.8511,0.8531,0.8511,0.8500
5,0.8710,0.8710,0.8710,0.8679
6,0.8685,0.8717,0.8685,0.8658
7,0.8561,0.8544,0.8561,0.8532
8,0.8759,0.8811,0.8759,0.8773
9,0.8561,0.8548,0.8561,0.8527
10,0.8486,0.8541,0.8486,0.8488
