metric,mean(var),std,min,max,var
accuracy,0.789(0.019),0.0194,0.7429,0.8127,0.0004
precision,0.795(0.020),0.0199,0.7508,0.8164,0.0004
recall,0.789(0.019),0.0194,0.7429,0.8127,0.0004
f1_score,0.787(0.020),0.0201,0.7386,0.8116,0.0004

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8032,0.8164,0.8032,0.8042
2,0.8063,0.8131,0.8063,0.8040
3,0.7873,0.7877,0.7873,0.7854
4,0.7429,0.7508,0.7429,0.7386
5,0.8063,0.8136,0.8063,0.8057
6,0.7873,0.8077,0.7873,0.7829
7,0.7810,0.7866,0.7810,0.7810
8,0.8127,0.8114,0.8127,0.8116
9,0.7778,0.7819,0.7778,0.7783
10,0.7810,0.7834,0.7810,0.7810
