metric,mean(var),std,min,max,var
accuracy,0.790(0.031),0.0314,0.7253,0.8242,0.0010
precision,0.801(0.026),0.0259,0.7393,0.8323,0.0007
recall,0.790(0.031),0.0314,0.7253,0.8242,0.0010
f1_score,0.785(0.030),0.0304,0.7204,0.8203,0.0009

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8159,0.8119,0.8159,0.8111
2,0.7527,0.7933,0.7527,0.7557
3,0.7582,0.7752,0.7582,0.7568
4,0.8022,0.8112,0.8022,0.7880
5,0.7940,0.7981,0.7940,0.7816
6,0.8159,0.8323,0.8159,0.8151
7,0.7253,0.7393,0.7253,0.7204
8,0.8132,0.8164,0.8132,0.8053
9,0.7967,0.8019,0.7967,0.7973
10,0.8242,0.8282,0.8242,0.8203
