metric,mean(var),std,min,max,var
accuracy,0.772(0.028),0.0280,0.7243,0.8170,0.0008
precision,0.794(0.025),0.0249,0.7466,0.8277,0.0006
recall,0.772(0.028),0.0280,0.7243,0.8170,0.0008
f1_score,0.759(0.031),0.0308,0.7072,0.8136,0.0010

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7644,0.8041,0.7644,0.7515
2,0.7794,0.7871,0.7794,0.7756
3,0.7970,0.8207,0.7970,0.7773
4,0.7419,0.7687,0.7419,0.7265
5,0.7995,0.8203,0.7995,0.7935
6,0.7243,0.7466,0.7243,0.7072
7,0.7769,0.7923,0.7769,0.7654
8,0.7393,0.7711,0.7393,0.7301
9,0.7769,0.8035,0.7769,0.7517
10,0.8170,0.8277,0.8170,0.8136
