metric,mean(var),std,min,max,var
accuracy,0.5511(0.0051),0.0714,0.4444,0.6667,0.0051
precision,0.5942(0.0126),0.1124,0.3958,0.7411,0.0126
recall,0.5511(0.0051),0.0714,0.4444,0.6667,0.0051
f1_score,0.5185(0.0069),0.0831,0.4115,0.6699,0.0069

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6190,0.6714,0.6190,0.6043
2,0.6667,0.7401,0.6667,0.6699
3,0.5365,0.5891,0.5365,0.4918
4,0.4698,0.4533,0.4698,0.4441
5,0.5333,0.6918,0.5333,0.4683
6,0.6571,0.7411,0.6571,0.6306
7,0.5238,0.5146,0.5238,0.4940
8,0.5016,0.5461,0.5016,0.4460
9,0.5587,0.5985,0.5587,0.5244
10,0.4444,0.3958,0.4444,0.4115
