metric,mean(var),std,min,max,var
accuracy,0.6841(0.0007),0.0260,0.6413,0.7302,0.0007
precision,0.7223(0.0008),0.0286,0.6577,0.7633,0.0008
recall,0.6841(0.0007),0.0260,0.6413,0.7302,0.0007
f1_score,0.6751(0.0011),0.0331,0.6027,0.7303,0.0011

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7302,0.7321,0.7302,0.7303
2,0.6921,0.7168,0.6921,0.6901
3,0.6413,0.7254,0.6413,0.6027
4,0.6889,0.6960,0.6889,0.6853
5,0.6857,0.7633,0.6857,0.6926
6,0.6762,0.7331,0.6762,0.6544
7,0.6444,0.6577,0.6444,0.6456
8,0.7111,0.7244,0.7111,0.7003
9,0.6984,0.7587,0.6984,0.6808
10,0.6730,0.7158,0.6730,0.6687
