metric,mean(var),std,min,max,var
accuracy,0.819(0.042),0.0424,0.7397,0.8698,0.0018
precision,0.823(0.040),0.0404,0.7442,0.8705,0.0016
recall,0.819(0.042),0.0424,0.7397,0.8698,0.0018
f1_score,0.818(0.043),0.0434,0.7368,0.8693,0.0019

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7492,0.7553,0.7492,0.7468
2,0.8540,0.8552,0.8540,0.8545
3,0.8349,0.8390,0.8349,0.8361
4,0.8317,0.8397,0.8317,0.8316
5,0.7397,0.7442,0.7397,0.7368
6,0.8698,0.8705,0.8698,0.8693
7,0.8349,0.8337,0.8349,0.8339
8,0.8381,0.8404,0.8381,0.8374
9,0.7873,0.8004,0.7873,0.7862
10,0.8508,0.8508,0.8508,0.8505
