metric,mean(var),std,min,max,var
accuracy,0.842(0.050),0.0500,0.7318,0.9073,0.0025
precision,0.863(0.033),0.0327,0.7991,0.9128,0.0011
recall,0.842(0.050),0.0500,0.7318,0.9073,0.0025
f1_score,0.841(0.049),0.0489,0.7386,0.9054,0.0024

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8672,0.8704,0.8672,0.8675
2,0.7920,0.8360,0.7920,0.7963
3,0.8371,0.8525,0.8371,0.8329
4,0.8697,0.8772,0.8697,0.8673
5,0.9073,0.9128,0.9073,0.9054
6,0.9048,0.9052,0.9048,0.9029
7,0.8246,0.8306,0.8246,0.8011
8,0.7318,0.7991,0.7318,0.7386
9,0.8296,0.8734,0.8296,0.8376
10,0.8596,0.8717,0.8596,0.8602
