metric,mean(var),std,min,max,var
accuracy,0.854(0.021),0.0209,0.8187,0.8791,0.0004
precision,0.862(0.017),0.0172,0.8368,0.8846,0.0003
recall,0.854(0.021),0.0209,0.8187,0.8791,0.0004
f1_score,0.853(0.021),0.0215,0.8239,0.8796,0.0005

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8516,0.8582,0.8516,0.8518
2,0.8791,0.8846,0.8791,0.8796
3,0.8297,0.8450,0.8297,0.8322
4,0.8736,0.8762,0.8736,0.8731
5,0.8187,0.8368,0.8187,0.8239
6,0.8434,0.8524,0.8434,0.8354
7,0.8352,0.8421,0.8352,0.8248
8,0.8791,0.8840,0.8791,0.8795
9,0.8599,0.8621,0.8599,0.8569
10,0.8736,0.8802,0.8736,0.8729
