metric,mean(var),std,min,max,var
accuracy,0.771(0.027),0.0268,0.7193,0.8195,0.0007
precision,0.790(0.030),0.0297,0.7487,0.8343,0.0009
recall,0.771(0.027),0.0268,0.7193,0.8195,0.0007
f1_score,0.761(0.023),0.0233,0.7237,0.8127,0.0005

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7644,0.7953,0.7644,0.7502
2,0.7694,0.7704,0.7694,0.7450
3,0.7544,0.7601,0.7544,0.7423
4,0.7820,0.8148,0.7820,0.7641
5,0.7820,0.8004,0.7820,0.7747
6,0.7845,0.8301,0.7845,0.7788
7,0.7419,0.7960,0.7419,0.7531
8,0.7945,0.7513,0.7945,0.7683
9,0.7193,0.7487,0.7193,0.7237
10,0.8195,0.8343,0.8195,0.8127
