metric,mean(var),std,min,max,var
accuracy,0.822(0.001),0.0363,0.7594,0.8647,0.0013
precision,0.832(0.001),0.0306,0.7748,0.8699,0.0009
recall,0.822(0.001),0.0363,0.7594,0.8647,0.0013
f1_score,0.817(0.002),0.0405,0.7461,0.8648,0.0016

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7945,0.8253,0.7945,0.7783
2,0.8496,0.8517,0.8496,0.8466
3,0.8571,0.8560,0.8571,0.8520
4,0.7769,0.7748,0.7769,0.7694
5,0.8596,0.8631,0.8596,0.8586
6,0.8371,0.8371,0.8371,0.8351
7,0.8647,0.8699,0.8647,0.8648
8,0.7594,0.7805,0.7594,0.7461
9,0.8321,0.8348,0.8321,0.8312
10,0.7920,0.8284,0.7920,0.7861
