metric,mean(var),std,min,max,var
accuracy,0.798(0.040),0.0404,0.7246,0.8462,0.0016
precision,0.804(0.046),0.0463,0.7249,0.8574,0.0021
recall,0.798(0.040),0.0404,0.7246,0.8462,0.0016
f1_score,0.784(0.047),0.0466,0.7103,0.8445,0.0022

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7965,0.8197,0.7965,0.7747
2,0.7667,0.7720,0.7667,0.7403
3,0.8462,0.8533,0.8462,0.8445
4,0.8065,0.7998,0.8065,0.7932
5,0.8362,0.8446,0.8362,0.8277
6,0.7940,0.8025,0.7940,0.7747
7,0.8437,0.8574,0.8437,0.8369
8,0.8213,0.8391,0.8213,0.8192
9,0.7395,0.7286,0.7395,0.7171
10,0.7246,0.7249,0.7246,0.7103
