metric,mean(var),std,min,max,var
accuracy,0.766(0.042),0.0415,0.6892,0.8396,0.0017
precision,0.799(0.024),0.0243,0.7565,0.8465,0.0006
recall,0.766(0.042),0.0415,0.6892,0.8396,0.0017
f1_score,0.759(0.036),0.0363,0.6972,0.8317,0.0013

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7820,0.8043,0.7820,0.7628
2,0.8045,0.8208,0.8045,0.7888
3,0.6892,0.8153,0.6892,0.7202
4,0.8396,0.8465,0.8396,0.8317
5,0.7669,0.7946,0.7669,0.7602
6,0.7343,0.7565,0.7343,0.7270
7,0.7594,0.7952,0.7594,0.7564
8,0.7920,0.7948,0.7920,0.7836
9,0.7168,0.7668,0.7168,0.6972
10,0.7719,0.7977,0.7719,0.7613
