metric,mean(var),std,min,max,var
accuracy,0.780(0.030),0.0304,0.6825,0.8476,0.0009
precision,0.785(0.032),0.0316,0.6836,0.8469,0.0010
recall,0.780(0.030),0.0304,0.6825,0.8476,0.0009
f1_score,0.779(0.031),0.0313,0.6758,0.8466,0.0010

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8032,0.8164,0.8032,0.8042
2,0.8063,0.8131,0.8063,0.8040
3,0.7873,0.7877,0.7873,0.7854
4,0.7429,0.7508,0.7429,0.7386
5,0.8063,0.8136,0.8063,0.8057
6,0.7873,0.8077,0.7873,0.7829
7,0.7810,0.7866,0.7810,0.7810
8,0.8127,0.8114,0.8127,0.8116
9,0.7778,0.7819,0.7778,0.7783
10,0.7810,0.7834,0.7810,0.7810
11,0.8159,0.8191,0.8159,0.8156
12,0.7619,0.7613,0.7619,0.7610
13,0.7397,0.7375,0.7397,0.7379
14,0.8476,0.8469,0.8476,0.8466
15,0.7270,0.7332,0.7270,0.7266
16,0.8000,0.8042,0.8000,0.8008
17,0.7937,0.8076,0.7937,0.7959
18,0.7397,0.7377,0.7397,0.7373
19,0.7841,0.7880,0.7841,0.7844
20,0.7873,0.7907,0.7873,0.7869
21,0.7746,0.7811,0.7746,0.7737
22,0.6825,0.6836,0.6825,0.6758
23,0.7778,0.7787,0.7778,0.7773
24,0.7873,0.7963,0.7873,0.7872
25,0.7778,0.7773,0.7778,0.7766
26,0.7746,0.7874,0.7746,0.7717
27,0.8032,0.8054,0.8032,0.8018
28,0.7746,0.7788,0.7746,0.7740
29,0.7746,0.7879,0.7746,0.7746
30,0.7905,0.7996,0.7905,0.7901
