metric,mean(var),std,min,max,var
accuracy,0.849(0.013),0.0131,0.8249,0.8729,0.0002
precision,0.857(0.012),0.0116,0.8443,0.8766,0.0001
recall,0.849(0.013),0.0131,0.8249,0.8729,0.0002
f1_score,0.846(0.013),0.0133,0.8231,0.8680,0.0002

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8609,0.8650,0.8609,0.8602
2,0.8441,0.8499,0.8441,0.8388
3,0.8537,0.8596,0.8537,0.8533
4,0.8729,0.8748,0.8729,0.8680
5,0.8393,0.8445,0.8393,0.8383
6,0.8609,0.8766,0.8609,0.8621
7,0.8393,0.8443,0.8393,0.8388
8,0.8249,0.8469,0.8249,0.8231
9,0.8417,0.8463,0.8417,0.8374
10,0.8513,0.8585,0.8513,0.8448
