metric,mean(var),std,min,max,var
accuracy,0.752(0.031),0.0311,0.7143,0.8221,0.0010
precision,0.785(0.024),0.0239,0.7439,0.8279,0.0006
recall,0.752(0.031),0.0311,0.7143,0.8221,0.0010
f1_score,0.741(0.034),0.0338,0.6954,0.8171,0.0011

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7293,0.7644,0.7293,0.7230
2,0.7494,0.7573,0.7494,0.7384
3,0.7293,0.7895,0.7293,0.7069
4,0.7343,0.7844,0.7343,0.7363
5,0.7143,0.7439,0.7143,0.6954
6,0.7444,0.8040,0.7444,0.7200
7,0.7419,0.7796,0.7419,0.7410
8,0.7669,0.7861,0.7669,0.7493
9,0.7920,0.8092,0.7920,0.7799
10,0.8221,0.8279,0.8221,0.8171
