metric,mean(var),std,min,max,var
accuracy,0.602(0.040),0.0401,0.5429,0.6794,0.0016
precision,0.607(0.049),0.0485,0.5287,0.6875,0.0024
recall,0.602(0.040),0.0401,0.5429,0.6794,0.0016
f1_score,0.587(0.047),0.0469,0.5122,0.6780,0.0022

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6254,0.6458,0.6254,0.6239
2,0.5429,0.5287,0.5429,0.5122
3,0.5556,0.5476,0.5556,0.5439
4,0.6222,0.6204,0.6222,0.6006
5,0.5556,0.5474,0.5556,0.5407
6,0.5873,0.6128,0.5873,0.5642
7,0.6349,0.6467,0.6349,0.6226
8,0.6032,0.6033,0.6032,0.5727
9,0.6095,0.6306,0.6095,0.6108
10,0.6794,0.6875,0.6794,0.6780
