metric,mean(var),std,min,max,var
accuracy,0.856(0.013),0.0130,0.8313,0.8710,0.0002
precision,0.861(0.012),0.0117,0.8371,0.8779,0.0001
recall,0.856(0.013),0.0130,0.8313,0.8710,0.0002
f1_score,0.851(0.014),0.0141,0.8259,0.8704,0.0002

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8561,0.8545,0.8561,0.8502
2,0.8710,0.8779,0.8710,0.8704
3,0.8313,0.8452,0.8313,0.8259
4,0.8561,0.8664,0.8561,0.8493
5,0.8610,0.8603,0.8610,0.8552
6,0.8536,0.8578,0.8536,0.8446
7,0.8561,0.8685,0.8561,0.8559
8,0.8337,0.8371,0.8337,0.8288
9,0.8660,0.8684,0.8660,0.8647
10,0.8710,0.8690,0.8710,0.8657
