metric,mean(var),std,min,max,var
accuracy,0.794(0.021),0.0209,0.7714,0.8317,0.0004
precision,0.799(0.021),0.0208,0.7735,0.8383,0.0004
recall,0.794(0.021),0.0209,0.7714,0.8317,0.0004
f1_score,0.792(0.021),0.0215,0.7673,0.8284,0.0005

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7714,0.7746,0.7714,0.7713
2,0.8095,0.8111,0.8095,0.8098
3,0.8000,0.8047,0.8000,0.7982
4,0.8190,0.8211,0.8190,0.8188
5,0.7746,0.7753,0.7746,0.7746
6,0.7778,0.7831,0.7778,0.7744
7,0.8063,0.8060,0.8063,0.8052
8,0.7746,0.8017,0.7746,0.7673
9,0.8317,0.8383,0.8317,0.8284
10,0.7746,0.7735,0.7746,0.7724
