metric,mean(var),std,min,max,var
accuracy,0.806(0.027),0.0274,0.7530,0.8465,0.0007
precision,0.817(0.024),0.0235,0.7687,0.8469,0.0006
recall,0.806(0.027),0.0274,0.7530,0.8465,0.0007
f1_score,0.802(0.029),0.0292,0.7433,0.8441,0.0009

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7794,0.8202,0.7794,0.7844
2,0.8345,0.8428,0.8345,0.8271
3,0.8153,0.8229,0.8153,0.8123
4,0.8465,0.8469,0.8465,0.8441
5,0.7770,0.7817,0.7770,0.7618
6,0.8058,0.8285,0.8058,0.8052
7,0.8177,0.8294,0.8177,0.8176
8,0.8082,0.8114,0.8082,0.8018
9,0.8273,0.8223,0.8273,0.8226
10,0.7530,0.7687,0.7530,0.7433
