metric,mean(var),std,min,max,var
accuracy,0.805(0.044),0.0443,0.7293,0.8571,0.0020
precision,0.824(0.041),0.0406,0.7310,0.8630,0.0017
recall,0.805(0.044),0.0443,0.7293,0.8571,0.0020
f1_score,0.802(0.047),0.0475,0.6991,0.8515,0.0023

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8371,0.8539,0.8371,0.8256
2,0.8070,0.8346,0.8070,0.8091
3,0.7820,0.8269,0.7820,0.7890
4,0.7769,0.7953,0.7769,0.7783
5,0.8471,0.8535,0.8471,0.8464
6,0.8396,0.8491,0.8396,0.8368
7,0.7368,0.7788,0.7368,0.7433
8,0.7293,0.7310,0.7293,0.6991
9,0.8396,0.8551,0.8396,0.8412
10,0.8571,0.8630,0.8571,0.8515
