metric,mean(var),std,min,max,var
accuracy,0.818(0.030),0.0298,0.7626,0.8585,0.0009
precision,0.836(0.022),0.0223,0.7850,0.8667,0.0005
recall,0.818(0.030),0.0298,0.7626,0.8585,0.0009
f1_score,0.819(0.029),0.0293,0.7638,0.8603,0.0009

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8177,0.8278,0.8177,0.8198
2,0.7962,0.8293,0.7962,0.7954
3,0.8585,0.8667,0.8585,0.8596
4,0.8249,0.8388,0.8249,0.8260
5,0.7986,0.8291,0.7986,0.7991
6,0.8585,0.8663,0.8585,0.8603
7,0.8273,0.8317,0.8273,0.8212
8,0.8465,0.8543,0.8465,0.8446
9,0.7914,0.8354,0.7914,0.7964
10,0.7626,0.7850,0.7626,0.7638
